timestamp,fault_d7,4700008966_kW,4700008966_power_hour,4408411600_kW,4408411600_power_hour,4608927500_kvar_hour,238045_ws_temp,279805_ws_vigor,279804_ws_level,279625_ws_temp,279623_ws_vigor,319235_ws_temp,279831_ws_temp,326417_ws_temp,326416_ws_vigor,temp_site1_anomaly_score,sfc_temp_site1_anomaly_score,gw_lvl_site2_anomaly_score,gw_temp_site2_anomaly_score
01-04-2022 2:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.76,6.46,21.35,27.79
01-04-2022 3:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.83,6.35,21.35,27.79
01-04-2022 4:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.2,7.26,21.35,27.79
01-04-2022 5:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.5,7.26,21.35,27.79
01-04-2022 6:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.89,5.14,21.35,27.79
01-04-2022 7:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.21,4.42,21.35,27.79
01-04-2022 8:00,1,0.3164836,0.3164836,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.2,3.79,21.35,27.79
01-04-2022 9:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.9,3.29,21.35,27.79
01-04-2022 10:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.16,3.94,21.35,27.79
01-04-2022 11:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.69,4.71,21.35,27.79
01-04-2022 12:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.9,3.34,21.35,27.79
01-04-2022 13:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.3,4.3,21.35,27.79
01-04-2022 14:00,1,65.89892,65.89892,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.91,3.47,21.35,27.79
